farm_id,fpr_survey_number,fpr_sub_survey_number,fpr_unique_code,fpr_plot_area,fpr_village_lgd_code,overlap_frac
1,87,p૧,87-p૧,3.6134,519828.0,1.0
2,87,p૧,87-p૧,3.6134,519828.0,0.936
3,87,p૧,87-p૧,3.6134,519828.0,0.955
4,90,,90-,0.4553,519828.0,0.393
5,89,,89-,0.5666,519828.0,0.833
6,92,,92-,0.435,519828.0,0.489
7,91,,91-,0.4553,519828.0,0.924
8,104,,104-,1.7098,519828.0,0.948
9,105,/૧,105-/૧,0.6509,519828.0,0.995
10,142,,142-,0.9712,519813.0,0.597
11,114,,114-,0.3541,519828.0,0.597
12,140,p,140-p,1.4366,519813.0,0.118
13,200,,200-,2.417,519813.0,0.792
14,199,/p૩,199-/p૩,0.84,519813.0,0.894
15,199,/p૧,199-/p૧,0.6835,519813.0,0.696
16,199,/p૨,199-/p૨,0.84,519813.0,0.999
17,208,,208-,0.688,519813.0,0.612
18,209,,209-,0.7689,519812.0,0.608
19,209,,209-,0.7689,519812.0,1.0
20,184,,184-,0.9915,519828.0,0.129
21,185,,185-,0.9308,519828.0,0.113
22,186,,186-,0.2428,519828.0,0.152
23,,,,,,
24,189,,189-,0.4654,519828.0,0.062
25,,,,,,
26,197,,197-,1.3658,519828.0,0.933
27,198,,198-,0.4957,519828.0,0.887
28,199,/p૧,199-/p૧,0.3782,519828.0,0.139
29,199,/p૧,199-/p૧,0.3782,519828.0,0.995
30,,,,,,
31,211,,211-,1.7604,519828.0,0.18
32,212,,212-,0.688,519828.0,0.238
33,210,,210-,1.214,519828.0,0.761
34,210,,210-,1.214,519828.0,0.912
35,184,,184-,0.9915,519828.0,0.958
36,185,,185-,0.9308,519828.0,0.945
37,187,,187-,0.9409,519828.0,0.433
38,187,,187-,0.9409,519828.0,0.913
39,188,,188-,0.5362,519828.0,0.615
40,196,,196-,0.6273,519828.0,0.909
41,208,,208-,1.3051,519828.0,0.654
42,218,,218-,1.8413,519828.0,0.899
43,208,,208-,1.3051,519828.0,0.948
44,207,,207-,0.3642,519828.0,0.961
45,219,,219-,0.4148,519828.0,0.91
46,,,,,,
47,220,,220-,0.4148,519828.0,0.442
48,223,,223-,0.2226,519828.0,0.332
49,211,,211-,1.7604,519828.0,0.936
50,216,,216-,0.4654,519828.0,0.837
51,204,/બ,204-/બ,0.4755,519835.0,0.999
52,209,,209-,0.2631,519835.0,0.773
53,164,,164-,0.7689,519835.0,0.993
54,161,,161-,0.6272,519835.0,0.812
55,160,,160-,0.7588,519835.0,0.513
56,159,,159-,0.8802,519835.0,0.682
57,,,,,,
58,455,,455-,1.2949,519828.0,0.986
59,453,,453-,0.86,519828.0,0.863
60,140,p,140-p,1.4366,519813.0,0.933
61,140,p,140-p,1.4366,519813.0,0.953
62,139,,139-,0.2023,519828.0,0.335
63,141,,141-,1.0522,519828.0,0.803
64,138,,138-,0.516,519828.0,0.491
65,141,,141-,1.0522,519828.0,0.192
