farm_id,fpr_survey_number,fpr_sub_survey_number,overlap_frac,lat,lon,area_ha,crop_type,independent_crop,crop_confidence,vf12_crop,vf12_season,notes
1,87.0,p૧,1.0,22.431488,73.173663,0.2842602108358393,Rice,Groundnut,0.5744,,kharif2025,
3,87.0,p૧,0.955,22.430903,73.174176,0.5008628882666493,Rice,Bajra,0.4088,,kharif2025,
29,199.0,/p૧,0.995,22.419154,73.176246,0.5681262967499147,Rice,Groundnut,0.3277,,kharif2025,
38,187.0,,0.913,22.422368,73.177618,0.492507854010358,Rice,Groundnut,0.4674,,kharif2025,
54,161.0,,0.812,22.412807,73.171389,0.1833500946954329,Maize,Groundnut,0.384,,kharif2025,
55,160.0,,0.513,22.412287,73.171416,0.2351931151356756,Maize,Groundnut,0.55,,kharif2025,
58,455.0,,0.986,22.41233,73.154752,0.096016580764782,Cotton,Maize,0.5927,,kharif2025,
72,96.0,/p૧,0.68,22.429442,73.174893,0.3691253187355509,Maize,Rice,0.356,,kharif2025,
78,86.0,,0.963,22.430327,73.172897,0.4008839929677567,Rice,Groundnut,0.4985,,kharif2025,
80,54.0,,0.619,22.429675,73.170206,1.3581766549317962,Rice,Groundnut,0.3672,,kharif2025,
81,41.0,p૧,0.972,22.429353,73.169222,1.496181459322255,Maize,Groundnut,0.523,,kharif2025,
82,55.0,,0.866,22.429355,73.171109,1.064641333179936,Maize,Groundnut,0.2801,,kharif2025,
96,349.0,/p૨,0.953,22.409251,73.171063,1.1554552082194167,Cotton,Cotton,0.3456,,kharif2025,
100,351.0,,0.845,22.410008,73.169755,1.038304978411163,Maize,Maize,0.4123,,kharif2025,
101,352.0,,0.633,22.410301,73.168673,0.863408252802758,Cotton,Cotton,0.5775,,kharif2025,
112,205.0,,0.954,22.419296,73.173418,0.4228356993263947,Maize,Groundnut,0.5282,,kharif2025,
113,183.0,,0.811,22.423869,73.175903,0.4519441090941869,Rice,Cotton,0.3194,,kharif2025,
136,334.0,,0.582,22.411399,73.168872,0.6784272025058703,Cotton,Cotton,0.5531,,kharif2025,
141,319.0,,0.745,22.412989,73.169216,0.4840316854581701,Maize,Groundnut,0.3604,,kharif2025,
155,324.0,,0.808,22.414119,73.167744,0.4358413456392997,Bajra,Groundnut,0.2874,,kharif2025,
178,667.0,,1.0,22.413872,73.145936,0.2664482686812132,Cotton,Groundnut,0.6718,,kharif2025,
180,671.0,,0.993,22.413507,73.144598,0.5213027996045472,Bajra,Rice,0.4119,,kharif2025,
181,666.0,,0.876,22.413894,73.145124,0.3170852062888362,Rice,Rice,0.297,,kharif2025,
189,298.0,,0.767,22.415455,73.17073,0.4966935727849175,Cotton,Groundnut,0.311,,kharif2025,
197,410.0,,0.896,22.415205,73.161124,0.2251970800390402,Bajra,Groundnut,0.2672,,kharif2025,
199,32.0,,0.708,22.427959,73.169383,2.2064500138134653,Cotton,Rice,0.6508,,kharif2025,
