state_name,district_name,crop_year,season,crop,area_,production_
Gujarat,VADODARA,1997,Kharif,Arhar/Tur,105400,82600
Gujarat,VADODARA,1997,Kharif,Bajra,12100,16400
Gujarat,VADODARA,1997,Kharif,Dry chillies,1400,1200
Gujarat,VADODARA,1997,Kharif,Groundnut,2700,3600
Gujarat,VADODARA,1997,Kharif,Jowar,4800,8200
Gujarat,VADODARA,1997,Kharif,Moong(Green Gram),3700,2300
Gujarat,VADODARA,1997,Kharif,Moth,700,400
Gujarat,VADODARA,1997,Kharif,Other Kharif pulses,600,300
Gujarat,VADODARA,1997,Kharif,Urad,15200,8000
Gujarat,VADODARA,1997,Rabi,Gram,1800,1500
Gujarat,VADODARA,1997,Rabi,Jowar,21200,19400
Gujarat,VADODARA,1997,Rabi,Other  Rabi pulses,500,300
Gujarat,VADODARA,1997,Rabi,Rapeseed &Mustard,300,300
Gujarat,VADODARA,1997,Rabi,Wheat,13900,29700
Gujarat,VADODARA,1997,Summer,Bajra,6100,12000
Gujarat,VADODARA,1997,Summer,Groundnut,10300,17200
Gujarat,VADODARA,1997,Whole Year,Banana,3700,245400
Gujarat,VADODARA,1997,Whole Year,Castor seed,15000,20200
Gujarat,VADODARA,1997,Whole Year,Cotton(lint),149800,246100
Gujarat,VADODARA,1997,Whole Year,Maize,49200,86300
Gujarat,VADODARA,1997,Whole Year,Onion,100,3500
Gujarat,VADODARA,1997,Whole Year,Potato,800,17400
Gujarat,VADODARA,1997,Whole Year,Pulses total,125600,936
Gujarat,VADODARA,1997,Whole Year,Rice,54700,54700
Gujarat,VADODARA,1997,Whole Year,Sesamum,1400,800
Gujarat,VADODARA,1997,Whole Year,Sugarcane,1400,104000
Gujarat,VADODARA,1997,Whole Year,Tobacco,25800,31400
Gujarat,VADODARA,1998,Kharif,Arhar/Tur,99900,85600
Gujarat,VADODARA,1998,Kharif,Bajra,6900,5400
Gujarat,VADODARA,1998,Kharif,Castor seed,14300,16400
Gujarat,VADODARA,1998,Kharif,Cotton(lint),177000,368000
Gujarat,VADODARA,1998,Kharif,Groundnut,1600,2100
Gujarat,VADODARA,1998,Kharif,Jowar,4300,4500
Gujarat,VADODARA,1998,Kharif,Maize,46600,78400
Gujarat,VADODARA,1998,Kharif,Moong(Green Gram),2300,1300
Gujarat,VADODARA,1998,Kharif,Moth,1200,800
Gujarat,VADODARA,1998,Kharif,Other Kharif pulses,300,200
Gujarat,VADODARA,1998,Kharif,Rice,53500,61900
Gujarat,VADODARA,1998,Kharif,Sesamum,2000,900
Gujarat,VADODARA,1998,Kharif,Urad,13300,8900
Gujarat,VADODARA,1998,Rabi,Gram,2100,1500
Gujarat,VADODARA,1998,Rabi,Jowar,15900,13100
Gujarat,VADODARA,1998,Rabi,Other  Rabi pulses,200,100
Gujarat,VADODARA,1998,Rabi,Rapeseed &Mustard,300,500
Gujarat,VADODARA,1998,Rabi,Small millets,1300,600
Gujarat,VADODARA,1998,Rabi,Wheat,19800,33600
Gujarat,VADODARA,1998,Summer,Bajra,5900,10900
Gujarat,VADODARA,1998,Summer,Groundnut,11100,16100
Gujarat,VADODARA,1998,Whole Year,Banana,4800,355600
Gujarat,VADODARA,1998,Whole Year,Dry chillies,900,600
Gujarat,VADODARA,1998,Whole Year,Oilseeds total,29300,36000
Gujarat,VADODARA,1998,Whole Year,Onion,200,6500
Gujarat,VADODARA,1998,Whole Year,Potato,600,13400
Gujarat,VADODARA,1998,Whole Year,Pulses total,119300,98400
Gujarat,VADODARA,1998,Whole Year,Sugarcane,3100,211000
Gujarat,VADODARA,1998,Whole Year,Tobacco,21700,24600
Gujarat,VADODARA,1999,Kharif,Arhar/Tur,100600,83800
Gujarat,VADODARA,1999,Kharif,Bajra,7900,6800
Gujarat,VADODARA,1999,Kharif,Castor seed,11700,15100
Gujarat,VADODARA,1999,Kharif,Cotton(lint),178000,289400
Gujarat,VADODARA,1999,Kharif,Groundnut,1200,400
Gujarat,VADODARA,1999,Kharif,Jowar,4200,5700
Gujarat,VADODARA,1999,Kharif,Maize,49600,59600
Gujarat,VADODARA,1999,Kharif,Moong(Green Gram),1600,500
Gujarat,VADODARA,1999,Kharif,Moth,500,200
Gujarat,VADODARA,1999,Kharif,Other Kharif pulses,300,200
Gujarat,VADODARA,1999,Kharif,Rice,48300,26800
Gujarat,VADODARA,1999,Kharif,Sesamum,1400,400
Gujarat,VADODARA,1999,Kharif,Urad,14200,5300
Gujarat,VADODARA,1999,Rabi,Gram,1800,900
Gujarat,VADODARA,1999,Rabi,Jowar,18100,15700
Gujarat,VADODARA,1999,Rabi,Other  Rabi pulses,600,300
Gujarat,VADODARA,1999,Rabi,Rapeseed &Mustard,200,200
Gujarat,VADODARA,1999,Rabi,Small millets,4700,1600
Gujarat,VADODARA,1999,Rabi,Wheat,15100,35800
Gujarat,VADODARA,1999,Summer,Bajra,6400,11300
Gujarat,VADODARA,1999,Summer,Groundnut,3900,6600
Gujarat,VADODARA,1999,Whole Year,Banana,3700,276100
Gujarat,VADODARA,1999,Whole Year,Dry chillies,1300,500
Gujarat,VADODARA,1999,Whole Year,Onion,300,6700
Gujarat,VADODARA,1999,Whole Year,Potato,600,14000
Gujarat,VADODARA,1999,Whole Year,Sugarcane,2100,145000
Gujarat,VADODARA,1999,Whole Year,Tobacco,23800,25700
Gujarat,VADODARA,2000,Kharif,Arhar/Tur,90600,32500
Gujarat,VADODARA,2000,Kharif,Bajra,8100,7100
Gujarat,VADODARA,2000,Kharif,Castor seed,15300,11100
Gujarat,VADODARA,2000,Kharif,Cotton(lint),157700,173500
Gujarat,VADODARA,2000,Kharif,Groundnut,2100,800
Gujarat,VADODARA,2000,Kharif,Jowar,5800,2700
Gujarat,VADODARA,2000,Kharif,Maize,50200,46700
Gujarat,VADODARA,2000,Kharif,Moong(Green Gram),2100,600
Gujarat,VADODARA,2000,Kharif,Moth,400,NA
Gujarat,VADODARA,2000,Kharif,Other Kharif pulses,800,400
Gujarat,VADODARA,2000,Kharif,Rice,51500,6100
Gujarat,VADODARA,2000,Kharif,Sesamum,1700,500
Gujarat,VADODARA,2000,Kharif,Urad,10500,1800
Gujarat,VADODARA,2000,Rabi,Gram,900,500
Gujarat,VADODARA,2000,Rabi,Jowar,10000,2700
Gujarat,VADODARA,2000,Rabi,Other  Rabi pulses,500,300
Gujarat,VADODARA,2000,Rabi,Rapeseed &Mustard,100,100
Gujarat,VADODARA,2000,Rabi,Wheat,6000,14400
Gujarat,VADODARA,2000,Summer,Bajra,3200,5800
Gujarat,VADODARA,2000,Summer,Groundnut,1000,2100
Gujarat,VADODARA,2000,Whole Year,Banana,4200,308600
Gujarat,VADODARA,2000,Whole Year,Dry chillies,2600,1000
Gujarat,VADODARA,2000,Whole Year,Guar seed,1700,400
Gujarat,VADODARA,2000,Whole Year,Onion,100,1100
Gujarat,VADODARA,2000,Whole Year,Potato,500,10600
Gujarat,VADODARA,2000,Whole Year,Sugarcane,1000,76000
Gujarat,VADODARA,2000,Whole Year,Tobacco,15800,18800
Gujarat,VADODARA,2001,Kharif,Arhar/Tur,96300,49200
Gujarat,VADODARA,2001,Kharif,Bajra,9300,9900
Gujarat,VADODARA,2001,Kharif,Castor seed,7500,9400
Gujarat,VADODARA,2001,Kharif,Cotton(lint),178100,158400
Gujarat,VADODARA,2001,Kharif,Groundnut,2300,3200
Gujarat,VADODARA,2001,Kharif,Jowar,2700,3600
Gujarat,VADODARA,2001,Kharif,Maize,54600,105100
Gujarat,VADODARA,2001,Kharif,Moong(Green Gram),2300,1000
Gujarat,VADODARA,2001,Kharif,Moth,400,100
Gujarat,VADODARA,2001,Kharif,Other Kharif pulses,1000,600
Gujarat,VADODARA,2001,Kharif,Rice,58600,48700
Gujarat,VADODARA,2001,Kharif,Sesamum,2400,1400
Gujarat,VADODARA,2001,Kharif,Small millets,100,NA
Gujarat,VADODARA,2001,Kharif,Urad,16200,11200
