farm_id,crop_type,yield_shipped,yield_kharif
1,Rice,1.418,1.5270769230769232
2,Rice,1.623,1.747846153846154
3,Rice,1.404,1.5120000000000002
4,Maize,2.767,2.764606401384083
5,Groundnut,2.124,1.6897374701670647
6,Cotton,0.377,0.377
7,Bajra,2.823,1.9867096536477522
8,Groundnut,1.973,1.5696101829753384
9,Cotton,0.324,0.324
10,Cotton,0.364,0.364
11,Cotton,0.317,0.317
12,Cotton,0.431,0.431
13,Rice,1.416,1.524923076923077
14,Cotton,0.605,0.605
15,Cotton,0.304,0.304
16,Groundnut,1.699,1.3516308671439938
17,Cotton,0.298,0.298
18,Cotton,0.278,0.278
19,Bajra,2.428,1.708725128960943
20,Rice,2.082,2.242153846153846
21,Rice,2.101,2.262615384615385
22,Cotton,0.361,0.361
23,Bajra,1.66,1.1682387619749446
24,Rice,2.134,2.298153846153846
25,Cotton,0.352,0.352
26,Rice,1.859,2.0020000000000002
27,Rice,1.562,1.6821538461538466
28,Cotton,0.349,0.349
29,Rice,1.656,1.7833846153846156
30,Cotton,0.493,0.493
31,Maize,2.536,2.5338062283737024
32,Rice,1.674,1.802769230769231
33,Cotton,0.433,0.433
34,Rice,2.03,2.186153846153846
35,Rice,1.533,1.6509230769230772
36,Maize,2.097,2.0951859861591697
37,Rice,1.73,1.8630769230769233
38,Rice,1.69,1.8200000000000003
39,Cotton,0.381,0.381
40,Cotton,0.381,0.381
41,Cotton,0.543,0.543
42,Cotton,0.438,0.438
43,Cotton,0.354,0.354
44,Cotton,0.35,0.35
45,Cotton,0.361,0.361
46,Cotton,0.406,0.406
47,Cotton,0.493,0.493
48,Cotton,0.44,0.44
49,Rice,1.976,2.128
50,Cotton,0.605,0.605
51,Cotton,0.303,0.303
52,Cotton,0.474,0.474
53,Cotton,0.412,0.412
54,Maize,2.372,2.369948096885813
55,Maize,2.432,2.429896193771626
56,Rice,1.706,1.8372307692307694
57,Maize,2.279,2.2770285467128026
58,Cotton,0.598,0.598
59,Cotton,0.438,0.438
60,Groundnut,2.406,1.9140811455847258
61,Cotton,0.357,0.357
62,Cotton,0.425,0.425
63,Rice,1.909,2.0558461538461543
64,Cotton,0.363,0.363
65,Rice,1.892,2.0375384615384617
66,Rice,1.773,1.9093846153846157
67,Cotton,0.605,0.605
68,Cotton,0.351,0.351
69,Cotton,0.605,0.605
70,Cotton,0.605,0.605
71,Groundnut,2.577,2.0501193317422435
72,Maize,2.008,2.006262975778547
73,Maize,2.234,2.232067474048443
74,Cotton,0.464,0.464
75,Cotton,0.325,0.325
76,Cotton,0.339,0.339
77,Cotton,0.253,0.253
78,Rice,1.622,1.746769230769231
79,Rice,1.513,1.6293846153846154
80,Rice,1.352,1.4560000000000004
81,Maize,2.57,2.5677768166089967
82,Maize,1.813,1.811431660899654
83,Cotton,0.291,0.291
84,Cotton,0.431,0.431
85,Cotton,0.496,0.496
86,Cotton,0.502,0.502
87,Cotton,0.393,0.393
88,Rice,1.664,1.7920000000000003
89,Rice,1.706,1.8372307692307694
90,Cotton,0.32,0.32
91,Cotton,0.357,0.357
92,Cotton,0.349,0.349
93,Cotton,0.247,0.247
94,Cotton,0.327,0.327
95,Cotton,0.581,0.581
96,Cotton,0.357,0.357
97,Cotton,0.339,0.339
98,Cotton,0.409,0.409
99,Cotton,0.496,0.496
100,Maize,2.599,2.5967517301038066
101,Cotton,0.355,0.355
102,Cotton,0.344,0.344
103,Cotton,0.442,0.442
104,Groundnut,2.439,1.9403341288782818
105,Cotton,0.575,0.575
106,Cotton,0.519,0.519
107,Cotton,0.417,0.417
108,Cotton,0.548,0.548
109,Cotton,0.272,0.272
110,Cotton,0.568,0.568
111,Groundnut,2.184,1.7374701670644395
112,Maize,2.639,2.6367171280276818
113,Rice,1.618,1.742461538461539
114,Groundnut,2.266,1.8027048528241847
115,Cotton,0.305,0.305
116,Groundnut,2.457,1.954653937947494
117,Cotton,0.605,0.605
