farm_id,crop_type,s1_pred,pred_embed,s1_ok,emb_ok
1,Rice,Groundnut,Groundnut,False,False
2,Rice,Groundnut,Groundnut,False,False
3,Rice,Groundnut,Cotton,False,False
4,Maize,Groundnut,Groundnut,False,False
5,Groundnut,Cotton,Cotton,False,False
6,Cotton,Cotton,Groundnut,True,False
7,Bajra,Groundnut,Groundnut,False,False
8,Groundnut,Groundnut,Cotton,True,False
9,Cotton,Cotton,Cotton,True,True
10,Cotton,Bajra,Cotton,False,True
11,Cotton,Cotton,Cotton,True,True
12,Cotton,Maize,Cotton,False,True
13,Rice,Cotton,Groundnut,False,False
14,Cotton,Cotton,Cotton,True,True
20,Rice,Rice,Groundnut,True,False
21,Rice,Groundnut,Groundnut,False,False
22,Cotton,Groundnut,Cotton,False,True
24,Rice,Groundnut,Groundnut,False,False
25,Cotton,Groundnut,Groundnut,False,False
26,Rice,Groundnut,Groundnut,False,False
27,Rice,Groundnut,Groundnut,False,False
28,Cotton,Cotton,Cotton,True,True
29,Rice,Cotton,Groundnut,False,False
30,Cotton,Cotton,Cotton,True,True
31,Maize,Cotton,Groundnut,False,False
32,Rice,Cotton,Cotton,False,False
33,Cotton,Groundnut,Groundnut,False,False
34,Rice,Cotton,Groundnut,False,False
35,Rice,Groundnut,Groundnut,False,False
36,Maize,Groundnut,Groundnut,False,False
37,Rice,Groundnut,Groundnut,False,False
38,Rice,Cotton,Groundnut,False,False
39,Cotton,Groundnut,Groundnut,False,False
40,Cotton,Cotton,Groundnut,True,False
41,Cotton,Cotton,Cotton,True,True
42,Cotton,Cotton,Cotton,True,True
43,Cotton,Cotton,Cotton,True,True
44,Cotton,Cotton,Rice,True,False
45,Cotton,Cotton,Rice,True,False
47,Cotton,Cotton,Rice,True,False
48,Cotton,Cotton,Cotton,True,True
49,Rice,Rice,Groundnut,True,False
51,Cotton,Cotton,Groundnut,True,False
53,Cotton,Cotton,Groundnut,True,False
54,Maize,Cotton,Rice,False,False
55,Maize,Groundnut,Groundnut,False,False
56,Rice,Cotton,Rice,False,True
58,Cotton,Cotton,Cotton,True,True
59,Cotton,Cotton,Cotton,True,True
60,Groundnut,Cotton,Cotton,False,False
61,Cotton,Cotton,Cotton,True,True
62,Cotton,Cotton,Cotton,True,True
63,Rice,Cotton,Groundnut,False,False
64,Cotton,Cotton,Cotton,True,True
65,Rice,Cotton,Bajra,False,False
66,Rice,Cotton,Bajra,False,False
67,Cotton,Cotton,Cotton,True,True
68,Cotton,Cotton,Groundnut,True,False
69,Cotton,Cotton,Cotton,True,True
70,Cotton,Cotton,Cotton,True,True
71,Groundnut,Bajra,Cotton,False,False
72,Maize,Cotton,Groundnut,False,False
73,Maize,Groundnut,Cotton,False,False
74,Cotton,Cotton,Cotton,True,True
75,Cotton,Cotton,Cotton,True,True
76,Cotton,Cotton,Cotton,True,True
77,Cotton,Groundnut,Cotton,False,True
78,Rice,Cotton,Groundnut,False,False
79,Rice,Cotton,Groundnut,False,False
80,Rice,Groundnut,Cotton,False,False
81,Maize,Cotton,Groundnut,False,False
82,Maize,Cotton,Cotton,False,False
83,Cotton,Cotton,Cotton,True,True
84,Cotton,Cotton,Cotton,True,True
85,Cotton,Cotton,Cotton,True,True
86,Cotton,Cotton,Cotton,True,True
87,Cotton,Bajra,Groundnut,False,False
88,Rice,Cotton,Cotton,False,False
89,Rice,Groundnut,Rice,False,True
90,Cotton,Cotton,Cotton,True,True
91,Cotton,Cotton,Cotton,True,True
92,Cotton,Cotton,Cotton,True,True
93,Cotton,Cotton,Cotton,True,True
94,Cotton,Groundnut,Cotton,False,True
95,Cotton,Cotton,Cotton,True,True
96,Cotton,Cotton,Cotton,True,True
97,Cotton,Bajra,Cotton,False,True
98,Cotton,Groundnut,Cotton,False,True
99,Cotton,Groundnut,Cotton,False,True
100,Maize,Groundnut,Groundnut,False,False
101,Cotton,Cotton,Rice,True,False
102,Cotton,Cotton,Cotton,True,True
103,Cotton,Cotton,Groundnut,True,False
104,Groundnut,Cotton,Rice,False,False
105,Cotton,Cotton,Cotton,True,True
106,Cotton,Cotton,Cotton,True,True
107,Cotton,Cotton,Cotton,True,True
108,Cotton,Cotton,Cotton,True,True
109,Cotton,Cotton,Cotton,True,True
110,Cotton,Cotton,Cotton,True,True
111,Groundnut,Groundnut,Cotton,True,False
112,Maize,Cotton,Bajra,False,False
113,Rice,Cotton,Cotton,False,False
114,Groundnut,Cotton,Rice,False,False
115,Cotton,Cotton,Cotton,True,True
116,Groundnut,Cotton,Groundnut,False,True
117,Cotton,Cotton,Cotton,True,True
118,Rice,Cotton,Groundnut,False,False
119,Cotton,Cotton,Cotton,True,True
120,Cotton,Groundnut,Groundnut,False,False
121,Cotton,Cotton,Cotton,True,True
122,Groundnut,Cotton,Groundnut,False,True
123,Cotton,Cotton,Groundnut,True,False
