farm_id,crop_type,p_assigned,entropy,yield_sd,p_Rice,p_Cotton,p_Maize,p_Bajra,p_Groundnut
1,Rice,0.5744,0.6993765960190401,0.40481288894854395,0.5744,0.0258,0.0348,0.2492,0.1158
2,Rice,0.4627,0.8458246113227442,0.5306383263231088,0.4627,0.0602,0.0754,0.23,0.1718
3,Rice,0.4088,0.8280069476920328,0.4446034037967399,0.4088,0.0613,0.0324,0.2056,0.292
4,Maize,0.5289,0.5871983061602759,1.1414214444374247,0.0081,0.4049,0.5289,0.0202,0.038
5,Groundnut,0.3715,0.8642876430750976,0.7208905498421148,0.3208,0.1741,0.0447,0.0889,0.3715
6,Cotton,0.3714,0.9136874037004296,0.961183801482142,0.0904,0.3714,0.2749,0.1103,0.153
7,Bajra,0.4464,0.7742995284511476,0.5768958727083415,0.3195,0.0321,0.0319,0.4464,0.1701
8,Groundnut,0.2934,0.9073248235767838,0.600983363508006,0.2646,0.0686,0.0824,0.291,0.2934
9,Cotton,0.5885,0.6996116041609899,0.8312486228994002,0.0197,0.5885,0.2239,0.0495,0.1185
10,Cotton,0.5451,0.8016562548305667,0.904722893472617,0.104,0.5451,0.1643,0.0562,0.1303
11,Cotton,0.2345,0.9974058442601483,0.7297665568766623,0.1797,0.2345,0.2003,0.1906,0.1949
12,Cotton,0.4449,0.9000652967915156,1.1076946710910573,0.161,0.4449,0.1628,0.121,0.1103
13,Rice,0.3071,0.9275319129073093,0.5511129581663445,0.3071,0.1076,0.0746,0.2658,0.2449
14,Cotton,0.902,0.21483543408974295,0.9522378401138558,0.0006,0.902,0.0922,0.0003,0.0049
15,Cotton,0.4014,0.9019988260303632,0.7638762815466892,0.0848,0.4014,0.1541,0.1083,0.2515
16,Groundnut,0.7545,0.5448529066731764,0.4082464313882539,0.043,0.0617,0.0372,0.1035,0.7545
17,Cotton,0.4654,0.8302224565352463,0.7921516578350404,0.0529,0.4654,0.0652,0.1709,0.2455
18,Cotton,0.4269,0.8607352462339093,0.6573665708595121,0.1321,0.4269,0.1133,0.0513,0.2764
19,Bajra,0.3646,0.8933520076268062,0.6043948858220396,0.1632,0.0955,0.0708,0.3646,0.3058
20,Rice,0.3863,0.8704458435937931,0.9095532038096598,0.3863,0.2952,0.1092,0.0415,0.1677
21,Rice,0.57,0.7895630854949236,0.6875788714575275,0.57,0.0959,0.0819,0.1117,0.1405
22,Cotton,0.6053,0.7041503956503555,0.7980529103644595,0.2059,0.6053,0.0794,0.0267,0.0827
23,Bajra,0.72,0.4725121154819544,0.25987446662731806,0.2163,0.0005,0.0039,0.72,0.0592
24,Rice,0.6259,0.7293128319551344,0.7201670033957446,0.6259,0.1217,0.0769,0.0845,0.091
25,Cotton,0.4615,0.8433952051686746,0.8467016267893713,0.1121,0.4615,0.1133,0.0546,0.2585
26,Rice,0.3407,0.9607539043968265,0.8015916308625454,0.3407,0.1783,0.1189,0.1786,0.1835
27,Rice,0.2435,0.9957068146523622,0.6977207533607871,0.2435,0.1786,0.1925,0.2063,0.1792
28,Cotton,0.274,0.9692211802922562,0.7890727877935007,0.2607,0.274,0.1309,0.1274,0.207
