farm_id,crop_type_ours,crop_type_theirs,area_ha
1,Rice,Cotton,0.2842602108358393
2,Rice,Cotton,0.2215418251883499
3,Rice,Cotton,0.5008628882666493
4,Maize,Groundnut,0.033637670655093
5,Groundnut,Cotton,0.5675288112319056
6,Cotton,Groundnut,0.8378502189360072
7,Bajra,Cotton,0.1950720911999547
8,Groundnut,Maize,0.8917320682281362
9,Cotton,Bajra,0.4170669829003039
10,Cotton,Cotton,0.3860355851925647
11,Cotton,Cotton,0.4430542916703957
12,Cotton,Rice,0.5516646220761335
13,Rice,Maize,0.4815186925147954
14,Cotton,Rice,0.2896841758437599
15,Cotton,Groundnut,2.257871362413479e-07
16,Groundnut,Groundnut,1.198032268621871e-07
17,Cotton,Groundnut,8.170756718469804e-09
18,Cotton,Groundnut,5.084064626714735e-09
19,Bajra,Groundnut,4.845720711671931e-09
20,Rice,Cotton,0.3876135438595965
21,Rice,Cotton,0.5725174781550666
22,Cotton,Cotton,0.3980899814218664
23,Bajra,Groundnut,1.1280382993849755e-09
24,Rice,Groundnut,0.256617417728398
25,Cotton,Cotton,0.1020199392891068
26,Rice,Cotton,0.4838093252761882
27,Rice,Cotton,0.5415105264041837
28,Cotton,Groundnut,0.259927890220491
29,Rice,Cotton,0.5681262967499147
30,Cotton,Rice,0.3338709047267693
31,Maize,Cotton,0.5907185134228785
32,Rice,Groundnut,0.1085043476881907
33,Cotton,Groundnut,0.6522243259691243
34,Rice,Cotton,0.4679714340427883
35,Rice,Cotton,0.992270754998336
36,Maize,Cotton,0.902129946251072
37,Rice,Cotton,0.5266487272851875
38,Rice,Cotton,0.492507854010358
39,Cotton,Groundnut,0.6675339882764417
40,Cotton,Cotton,0.5319990846374182
41,Cotton,Rice,0.944772147474751
42,Cotton,Maize,1.3556459123480105
43,Cotton,Groundnut,0.6459871347636221
44,Cotton,Cotton,0.3342891034507806
45,Cotton,Cotton,0.4164261151889281
46,Cotton,Groundnut,2.8816279759477605e-12
47,Cotton,Cotton,0.9941431838624308
48,Cotton,Groundnut,0.5443159741193601
49,Rice,Cotton,1.4403908240645713
50,Cotton,Groundnut,1.308755997789612e-07
51,Cotton,Groundnut,0.021906183441864
52,Cotton,Groundnut,7.831776115873674e-09
53,Cotton,Groundnut,0.2259368620071783
54,Maize,Maize,0.1833500946954329
55,Maize,Cotton,0.2351931151356756
56,Rice,Groundnut,0.3370215314449604
57,Maize,Groundnut,8.545364638340783e-16
58,Cotton,Maize,0.096016580764782
59,Cotton,Groundnut,0.8144783422308708
60,Groundnut,Groundnut,0.2806386983997658
61,Cotton,Cotton,0.3749607207946541
62,Cotton,Cotton,0.4876136060365847
63,Rice,Cotton,0.7577981760913929
64,Cotton,Groundnut,0.9613098902533448
65,Rice,Cotton,1.1754314082487507
66,Rice,Cotton,0.4845022201146881
67,Cotton,Rice,0.9000453815698743
68,Cotton,Groundnut,0.5116644737487964
69,Cotton,Rice,1.0442634460811326
70,Cotton,Groundnut,1.121296032217443
71,Groundnut,Cotton,0.5035004939765695
72,Maize,Cotton,0.3691253187355509
73,Maize,Groundnut,0.3509148390410827
74,Cotton,Rice,0.9351467283416492
75,Cotton,Groundnut,1.1755913536809968
76,Cotton,Groundnut,1.311939657480852
77,Cotton,Groundnut,0.9373809699681762
78,Rice,Cotton,0.4008839929677567
79,Rice,Cotton,0.5705266848847619
80,Rice,Cotton,1.3581766549317962
81,Maize,Cotton,1.496181459322255
82,Maize,Cotton,1.064641333179936
83,Cotton,Cotton,0.490880855487086
84,Cotton,Groundnut,0.16524761421084
85,Cotton,Maize,1.280637977935705
86,Cotton,Rice,2.734616647205324
87,Cotton,Groundnut,0.777248708882525
88,Rice,Groundnut,0.260868006603177
89,Rice,Groundnut,0.7261771928709487
90,Cotton,Groundnut,0.3848799608978606
91,Cotton,Cotton,0.2342812214481492
