farm_id,crop_GDHTM,crop_CodingBits,crop_8bit,crop_Megalodon,crop_Orion,crop_DeepThinkers,consensus,n_agree,gdhtm_matches_consensus
1,Rice,Groundnut,Groundnut,Groundnut,Bajra,Cotton,Groundnut,3,False
2,Rice,Bajra,Groundnut,Groundnut,Bajra,Cotton,Bajra,2,False
3,Rice,Cotton,Cotton,Cotton,Groundnut,Cotton,Cotton,4,False
4,Maize,Maize,Bajra,Bajra,Bajra,Groundnut,Bajra,3,False
5,Groundnut,Rice,Cotton,Groundnut,Groundnut,Cotton,Groundnut,3,True
6,Cotton,Bajra,Groundnut,Groundnut,Maize,Groundnut,Groundnut,3,False
7,Bajra,Cotton,Groundnut,Cotton,Maize,Cotton,Cotton,3,False
8,Groundnut,Cotton,Groundnut,Cotton,Maize,Maize,Cotton,2,False
9,Cotton,Cotton,Rice,Cotton,Groundnut,Bajra,Cotton,3,True
10,Cotton,Cotton,Cotton,Cotton,Groundnut,Cotton,Cotton,5,True
11,Cotton,Groundnut,Groundnut,Groundnut,Maize,Cotton,Groundnut,3,False
12,Cotton,Cotton,Groundnut,Cotton,Maize,Rice,Cotton,3,True
13,Rice,Bajra,Groundnut,Bajra,Maize,Maize,Bajra,2,False
14,Cotton,Groundnut,Maize,Groundnut,Rice,Rice,Groundnut,2,False
15,Cotton,Maize,Cotton,Cotton,Groundnut,Groundnut,Cotton,3,True
16,Groundnut,Bajra,Cotton,Cotton,Groundnut,Groundnut,Groundnut,3,True
17,Cotton,Maize,Cotton,Cotton,Groundnut,Groundnut,Cotton,3,True
18,Cotton,Maize,Cotton,Cotton,Groundnut,Groundnut,Cotton,3,True
19,Bajra,Maize,Cotton,Cotton,Groundnut,Groundnut,Cotton,2,False
20,Rice,Cotton,Groundnut,Cotton,Groundnut,Cotton,Cotton,3,False
21,Rice,Cotton,Groundnut,Cotton,Maize,Cotton,Cotton,3,False
22,Cotton,Groundnut,Cotton,Groundnut,Groundnut,Cotton,Cotton,3,True
23,Bajra,Bajra,Cotton,Cotton,Maize,Groundnut,Bajra,2,True
24,Rice,Rice,Groundnut,Groundnut,Maize,Groundnut,Groundnut,3,False
25,Cotton,Cotton,Cotton,Cotton,Groundnut,Cotton,Cotton,5,True
26,Rice,Cotton,Groundnut,Cotton,Maize,Cotton,Cotton,3,False
27,Rice,Cotton,Groundnut,Cotton,Maize,Cotton,Cotton,3,False
28,Cotton,Groundnut,Groundnut,Groundnut,Maize,Groundnut,Groundnut,4,False
29,Rice,Maize,Groundnut,Groundnut,Bajra,Cotton,Groundnut,2,False
30,Cotton,Cotton,Cotton,Cotton,Rice,Rice,Cotton,4,True
31,Maize,Groundnut,Groundnut,Groundnut,Rice,Cotton,Groundnut,3,False
32,Rice,Groundnut,Groundnut,Groundnut,Bajra,Groundnut,Groundnut,4,False
33,Cotton,Cotton,Groundnut,Cotton,Groundnut,Groundnut,Cotton,3,True
34,Rice,Cotton,Groundnut,Cotton,Groundnut,Cotton,Cotton,3,False
35,Rice,Groundnut,Bajra,Groundnut,Bajra,Cotton,Bajra,2,False
36,Maize,Groundnut,Bajra,Groundnut,Bajra,Cotton,Bajra,2,False
37,Rice,Cotton,Groundnut,Cotton,Groundnut,Cotton,Cotton,3,False
38,Rice,Cotton,Groundnut,Cotton,Maize,Cotton,Cotton,3,False
39,Cotton,Cotton,Groundnut,Cotton,Groundnut,Groundnut,Cotton,3,True
40,Cotton,Rice,Groundnut,Bajra,Maize,Cotton,Cotton,2,True
41,Cotton,Cotton,Cotton,Cotton,Rice,Rice,Cotton,4,True
42,Cotton,Cotton,Cotton,Cotton,Rice,Maize,Cotton,4,True
43,Cotton,Rice,Groundnut,Bajra,Groundnut,Groundnut,Groundnut,3,False
44,Cotton,Cotton,Groundnut,Cotton,Groundnut,Cotton,Cotton,4,True
45,Cotton,Cotton,Groundnut,Cotton,Groundnut,Cotton,Cotton,4,True
46,Cotton,Cotton,Cotton,Cotton,Groundnut,Groundnut,Cotton,4,True
47,Cotton,Cotton,Groundnut,Cotton,Groundnut,Cotton,Cotton,4,True
48,Cotton,Rice,Groundnut,Groundnut,Maize,Groundnut,Groundnut,3,False
49,Rice,Bajra,Cotton,Groundnut,Groundnut,Cotton,Cotton,2,False
50,Cotton,Maize,Cotton,Cotton,Groundnut,Groundnut,Cotton,3,True
51,Cotton,Rice,Cotton,Cotton,Rice,Groundnut,Cotton,3,True
52,Cotton,Maize,Cotton,Cotton,Groundnut,Groundnut,Cotton,3,True
53,Cotton,Rice,Groundnut,Cotton,Groundnut,Groundnut,Groundnut,3,False
54,Maize,Bajra,Bajra,Groundnut,Rice,Maize,Bajra,2,False
55,Maize,Bajra,Maize,Rice,Rice,Cotton,Maize,2,True
56,Rice,Rice,Groundnut,Groundnut,Maize,Groundnut,Groundnut,3,False
57,Maize,Cotton,Cotton,Cotton,Groundnut,Groundnut,Cotton,3,False
58,Cotton,Cotton,Bajra,Cotton,Rice,Maize,Cotton,3,True
59,Cotton,Cotton,Maize,Cotton,Groundnut,Groundnut,Cotton,3,True
60,Groundnut,Bajra,Groundnut,Groundnut,Maize,Groundnut,Groundnut,4,True
61,Cotton,Groundnut,Groundnut,Groundnut,Groundnut,Cotton,Groundnut,4,False
62,Cotton,Groundnut,Maize,Groundnut,Maize,Cotton,Cotton,2,True
63,Rice,Groundnut,Groundnut,Groundnut,Maize,Cotton,Groundnut,3,False
64,Cotton,Groundnut,Maize,Groundnut,Groundnut,Groundnut,Groundnut,4,False
65,Rice,Groundnut,Groundnut,Groundnut,Maize,Cotton,Groundnut,3,False
