farm_id,crop_type,yield_shipped,yield_anchor_corrected
1,Rice,1.418,1.418
2,Rice,1.623,1.623
3,Rice,1.404,1.404
4,Maize,2.767,2.767
5,Groundnut,2.124,2.124
6,Cotton,0.377,0.377
7,Bajra,2.823,1.8618901989683125
8,Groundnut,1.973,1.973
9,Cotton,0.324,0.324
10,Cotton,0.364,0.364
11,Cotton,0.317,0.317
12,Cotton,0.431,0.431
13,Rice,1.416,1.416
14,Cotton,0.605,0.605
15,Cotton,0.304,0.304
16,Groundnut,1.699,1.699
17,Cotton,0.298,0.298
18,Cotton,0.278,0.278
19,Bajra,2.428,1.6013706705969049
20,Rice,2.082,2.082
21,Rice,2.101,2.101
22,Cotton,0.361,0.361
23,Bajra,1.66,1.0948415622697125
24,Rice,2.134,2.134
25,Cotton,0.352,0.352
26,Rice,1.859,1.859
27,Rice,1.562,1.562
28,Cotton,0.349,0.349
29,Rice,1.656,1.656
30,Cotton,0.493,0.493
31,Maize,2.536,2.536
32,Rice,1.674,1.674
33,Cotton,0.433,0.433
34,Rice,2.03,2.03
35,Rice,1.533,1.533
36,Maize,2.097,2.097
37,Rice,1.73,1.73
38,Rice,1.69,1.69
39,Cotton,0.381,0.381
40,Cotton,0.381,0.381
41,Cotton,0.543,0.543
42,Cotton,0.438,0.438
43,Cotton,0.354,0.354
44,Cotton,0.35,0.35
45,Cotton,0.361,0.361
46,Cotton,0.406,0.406
47,Cotton,0.493,0.493
48,Cotton,0.44,0.44
49,Rice,1.976,1.976
50,Cotton,0.605,0.605
51,Cotton,0.303,0.303
52,Cotton,0.474,0.474
53,Cotton,0.412,0.412
54,Maize,2.372,2.372
55,Maize,2.432,2.432
56,Rice,1.706,1.706
57,Maize,2.279,2.279
58,Cotton,0.598,0.598
59,Cotton,0.438,0.438
60,Groundnut,2.406,2.406
61,Cotton,0.357,0.357
62,Cotton,0.425,0.425
63,Rice,1.909,1.909
64,Cotton,0.363,0.363
65,Rice,1.892,1.892
66,Rice,1.773,1.773
67,Cotton,0.605,0.605
68,Cotton,0.351,0.351
69,Cotton,0.605,0.605
70,Cotton,0.605,0.605
71,Groundnut,2.577,2.577
72,Maize,2.008,2.008
73,Maize,2.234,2.234
74,Cotton,0.464,0.464
75,Cotton,0.325,0.325
76,Cotton,0.339,0.339
77,Cotton,0.253,0.253
78,Rice,1.622,1.622
79,Rice,1.513,1.513
80,Rice,1.352,1.352
81,Maize,2.57,2.57
82,Maize,1.813,1.813
83,Cotton,0.291,0.291
84,Cotton,0.431,0.431
85,Cotton,0.496,0.496
86,Cotton,0.502,0.502
87,Cotton,0.393,0.393
88,Rice,1.664,1.664
89,Rice,1.706,1.706
90,Cotton,0.32,0.32
91,Cotton,0.357,0.357
92,Cotton,0.349,0.349
93,Cotton,0.247,0.247
94,Cotton,0.327,0.327
95,Cotton,0.581,0.581
96,Cotton,0.357,0.357
97,Cotton,0.339,0.339
98,Cotton,0.409,0.409
99,Cotton,0.496,0.496
100,Maize,2.599,2.599
101,Cotton,0.355,0.355
102,Cotton,0.344,0.344
103,Cotton,0.442,0.442
104,Groundnut,2.439,2.439
105,Cotton,0.575,0.575
106,Cotton,0.519,0.519
107,Cotton,0.417,0.417
108,Cotton,0.548,0.548
109,Cotton,0.272,0.272
110,Cotton,0.568,0.568
111,Groundnut,2.184,2.184
112,Maize,2.639,2.639
113,Rice,1.618,1.618
114,Groundnut,2.266,2.266
115,Cotton,0.305,0.305
116,Groundnut,2.457,2.457
117,Cotton,0.605,0.605
118,Rice,1.659,1.659
119,Cotton,0.605,0.605
120,Cotton,0.475,0.475
121,Cotton,0.478,0.478
122,Groundnut,1.671,1.671
123,Cotton,0.237,0.237
124,Groundnut,1.894,1.894
125,Groundnut,2.29,2.29
126,Groundnut,1.946,1.946
127,Groundnut,1.813,1.813
128,Groundnut,2.11,2.11
129,Groundnut,1.706,1.706
130,Cotton,0.378,0.378
131,Groundnut,1.919,1.919
132,Bajra,3.024,1.9944583640383198
133,Groundnut,1.965,1.965
134,Groundnut,2.092,2.092
135,Cotton,0.353,0.353
136,Cotton,0.493,0.493
137,Cotton,0.352,0.352
138,Cotton,0.456,0.456
139,Groundnut,2.222,2.222
140,Cotton,0.244,0.244
141,Maize,1.828,1.828
142,Groundnut,2.035,2.035
143,Cotton,0.338,0.338
144,Groundnut,1.883,1.883
145,Groundnut,2.185,2.185
146,Cotton,0.284,0.284
147,Cotton,0.521,0.521
148,Cotton,0.257,0.257
149,Maize,2.239,2.239
150,Cotton,0.369,0.369
151,Cotton,0.494,0.494
152,Groundnut,2.59,2.59
153,Cotton,0.287,0.287
154,Cotton,0.528,0.528
155,Bajra,3.411,2.2497015475313193
156,Groundnut,2.475,2.475
157,Groundnut,1.691,1.691
158,Maize,2.738,2.738
159,Cotton,0.5,0.5
160,Cotton,0.314,0.314
161,Cotton,0.287,0.287
162,Cotton,0.351,0.351
163,Cotton,0.534,0.534
164,Cotton,0.436,0.436
165,Groundnut,2.298,2.298
166,Groundnut,2.302,2.302
167,Groundnut,2.01,2.01
168,Groundnut,2.143,2.143
169,Maize,3.006,3.006
170,Groundnut,1.755,1.755
171,Cotton,0.242,0.242
172,Groundnut,1.961,1.961
173,Cotton,0.505,0.505
174,Cotton,0.48,0.48
175,Cotton,0.256,0.256
176,Cotton,0.239,0.239
177,Cotton,0.265,0.265
178,Cotton,0.369,0.369
179,Cotton,0.299,0.299
180,Bajra,2.969,1.958183492999263
181,Rice,1.234,1.234
182,Rice,1.363,1.363
183,Rice,1.699,1.699
184,Rice,1.746,1.746
185,Cotton,0.365,0.365
186,Cotton,0.292,0.292
187,Cotton,0.356,0.356
188,Cotton,0.261,0.261
189,Cotton,0.345,0.345
190,Groundnut,2.232,2.232
191,Cotton,0.41,0.41
192,Bajra,3.211,2.1177929255711128
193,Groundnut,2.549,2.549
194,Rice,1.801,1.801
195,Groundnut,1.961,1.961
196,Groundnut,1.791,1.791
