village_id,farm_id,crop_type,health_index,yield_estimate_to_date,shapefile_village_id,area_ha,crop_confidence,flood_excess_db,health_raw_z,source,p_Rice,p_Cotton,p_Maize,p_Bajra,p_Groundnut
1,1,Rice,18.39,0.997,22,0.2842602108358393,0.45,3.78,-0.5089,measured,0.45,0.0342,0.0459,0.3189,0.1511
1,2,Rice,22.99,1.085,22,0.2215418251883499,0.3746,3.03,-0.4437,measured,0.3746,0.0716,0.0892,0.2638,0.2009
1,3,Groundnut,35.65,1.561,22,0.5008628882666493,0.343,2.92,-0.5253,measured,0.3084,0.0732,0.0385,0.237,0.343
1,4,Maize,100.0,3.514,22,0.033637670655093,0.5146,0.88,2.0085,measured,0.034,0.3958,0.5146,0.0191,0.0365
1,5,Groundnut,33.04,1.502,22,0.5675288112319056,0.3974,3.05,-0.5705,measured,0.2716,0.1894,0.0484,0.0933,0.3974
1,6,Cotton,38.02,0.299,22,0.8378502189360072,0.3484,1.3,0.2852,measured,0.1539,0.3484,0.2568,0.0998,0.1411
1,7,Bajra,43.57,2.379,22,0.1950720911999547,0.4915,1.4,-0.5857,measured,0.2446,0.0367,0.0362,0.4915,0.191
1,8,Groundnut,29.13,1.413,22,0.8917320682281362,0.2939,1.69,-0.6079,measured,0.2668,0.0699,0.0836,0.2859,0.2939
1,9,Cotton,58.77,0.386,22,0.4170669829003039,0.5637,0.45,0.6863,measured,0.0654,0.5637,0.2135,0.0457,0.1117
1,10,Cotton,48.89,0.345,22,0.3860355851925647,0.524,2.4,0.4906,measured,0.1433,0.524,0.1573,0.0521,0.1232
1,11,Rice,62.07,1.838,22,0.4430542916703957,0.2455,2.01,-0.0188,measured,0.2455,0.2186,0.1859,0.1714,0.1786
1,12,Cotton,27.9,0.257,22,0.5516646220761335,0.4483,0.42,0.1112,measured,0.1614,0.4483,0.1633,0.1177,0.1093
