farm_id,capella_crop,independent_crop,p_Rice,p_Cotton,p_Maize,p_Bajra,p_Groundnut
1,Rice,Rice,0.3289,0.0636,0.035,0.2951,0.2774
2,Rice,Groundnut,0.034,0.0154,0.1777,0.214,0.5588
3,Groundnut,Bajra,0.0594,0.168,0.0779,0.3941,0.3007
4,Maize,Bajra,0.3208,0.0675,0.0243,0.356,0.2314
5,Groundnut,Groundnut,0.0787,0.2753,0.0851,0.253,0.3079
6,Cotton,Groundnut,0.0518,0.2584,0.1964,0.1784,0.315
7,Bajra,Bajra,0.1752,0.0783,0.0721,0.3643,0.3102
8,Groundnut,Bajra,0.2512,0.17,0.0866,0.2634,0.2288
9,Cotton,Cotton,0.0184,0.4139,0.2378,0.0917,0.2383
10,Cotton,Groundnut,0.0979,0.1826,0.2485,0.1999,0.271
11,Rice,Maize,0.0152,0.1872,0.4267,0.1095,0.2614
12,Cotton,Maize,0.0101,0.1335,0.5204,0.0869,0.2492
13,Rice,Groundnut,0.1594,0.1207,0.074,0.3051,0.3408
14,Cotton,Rice,0.3217,0.147,0.1893,0.0709,0.271
15,Cotton,Groundnut,0.0361,0.2008,0.3251,0.1039,0.3341
16,Groundnut,Maize,0.0546,0.2973,0.4022,0.0503,0.1955
17,Cotton,Groundnut,0.0469,0.2928,0.2294,0.1277,0.3032
18,Cotton,Maize,0.0194,0.243,0.41,0.0999,0.2278
19,Bajra,Rice,0.3403,0.1868,0.078,0.2346,0.1604
20,Rice,Cotton,0.0766,0.585,0.056,0.1538,0.1285
21,Rice,Bajra,0.2708,0.1857,0.0281,0.3551,0.1604
22,Cotton,Bajra,0.1069,0.1016,0.0456,0.3735,0.3723
23,Bajra,Bajra,0.1347,0.0029,0.0048,0.6323,0.2253
24,Rice,Bajra,0.2778,0.158,0.0463,0.2868,0.2311
25,Cotton,Cotton,0.0939,0.3691,0.046,0.3243,0.1668
26,Rice,Cotton,0.0556,0.3366,0.0683,0.3138,0.2257
27,Rice,Bajra,0.0473,0.2452,0.0839,0.3372,0.2864
28,Cotton,Groundnut,0.0553,0.2756,0.1429,0.1868,0.3393
29,Rice,Groundnut,0.0345,0.1326,0.1286,0.2475,0.4568
30,Cotton,Cotton,0.0004,0.8749,0.1112,0.0023,0.0111
31,Maize,Bajra,0.127,0.2387,0.0322,0.3168,0.2853
32,Rice,Groundnut,0.0826,0.0652,0.2722,0.1564,0.4236
33,Cotton,Bajra,0.139,0.2282,0.0434,0.3661,0.2232
34,Rice,Cotton,0.0764,0.3497,0.1258,0.1832,0.265
35,Rice,Groundnut,0.1118,0.0568,0.1157,0.2964,0.4193
36,Maize,Groundnut,0.1141,0.0679,0.0519,0.3744,0.3918
37,Rice,Bajra,0.0917,0.1133,0.097,0.3851,0.3128
38,Rice,Bajra,0.0443,0.2337,0.1255,0.3075,0.289
39,Cotton,Groundnut,0.0877,0.2599,0.1137,0.2619,0.2769
40,Rice,Bajra,0.2054,0.1834,0.0264,0.3395,0.2453
41,Cotton,Cotton,0.0023,0.8832,0.0915,0.0044,0.0186
42,Cotton,Cotton,0.0002,0.9151,0.0666,0.005,0.0132
43,Cotton,Cotton,0.0554,0.6486,0.0575,0.1149,0.1235
44,Cotton,Cotton,0.0526,0.5267,0.045,0.193,0.1825
45,Cotton,Cotton,0.0044,0.6409,0.1477,0.0791,0.128
46,Cotton,Groundnut,0.0116,0.1928,0.327,0.135,0.3336
47,Cotton,Cotton,0.0196,0.4884,0.136,0.1354,0.2206
48,Cotton,Cotton,0.0162,0.3149,0.2503,0.1323,0.2863
49,Rice,Groundnut,0.249,0.0728,0.0707,0.2941,0.3134
50,Cotton,Cotton,0.024,0.3679,0.1003,0.1932,0.3146
51,Cotton,Groundnut,0.0247,0.1856,0.1921,0.1718,0.4259
52,Cotton,Cotton,0.0148,0.3633,0.2648,0.1127,0.2445
53,Cotton,Cotton,0.0201,0.3497,0.1674,0.1517,0.3112
54,Maize,Groundnut,0.0403,0.0404,0.2287,0.1665,0.5241
55,Maize,Groundnut,0.0053,0.0718,0.2193,0.2738,0.4297
56,Rice,Groundnut,0.2792,0.0971,0.0926,0.1967,0.3344
57,Rice,Groundnut,0.0192,0.1048,0.3519,0.1289,0.3951
58,Cotton,Maize,0.0769,0.0961,0.4455,0.0345,0.3471
59,Cotton,Cotton,0.0852,0.3855,0.2248,0.0816,0.2229
60,Groundnut,Cotton,0.0271,0.3513,0.2903,0.0937,0.2376
61,Cotton,Groundnut,0.0725,0.2196,0.2487,0.1326,0.3267
62,Cotton,Groundnut,0.1374,0.1617,0.1241,0.1819,0.3949
63,Rice,Groundnut,0.0127,0.1283,0.1546,0.2134,0.4911
64,Cotton,Cotton,0.0556,0.3914,0.157,0.1118,0.2843
65,Rice,Groundnut,0.0425,0.0775,0.1506,0.2104,0.5191
66,Rice,Groundnut,0.0442,0.1316,0.1299,0.2703,0.424
67,Cotton,Cotton,0.17,0.5214,0.1375,0.0362,0.1349
68,Cotton,Cotton,0.03,0.3298,0.2499,0.1128,0.2775
69,Cotton,Maize,0.0708,0.1405,0.3596,0.1017,0.3273
70,Cotton,Maize,0.01,0.0436,0.5852,0.0673,0.2939
71,Groundnut,Groundnut,0.0963,0.1302,0.179,0.2578,0.3366
72,Maize,Groundnut,0.2152,0.1531,0.0823,0.2169,0.3325
73,Maize,Groundnut,0.1026,0.1225,0.248,0.1931,0.3339
74,Cotton,Cotton,0.0035,0.8215,0.1251,0.0109,0.0389
75,Cotton,Groundnut,0.127,0.2437,0.113,0.2012,0.3151
76,Cotton,Cotton,0.0539,0.3899,0.1529,0.1553,0.248
77,Cotton,Rice,0.4174,0.0684,0.0528,0.2166,0.2448
78,Rice,Cotton,0.0833,0.3405,0.1481,0.1824,0.2457
79,Rice,Groundnut,0.2414,0.1238,0.0431,0.2831,0.3086
80,Rice,Bajra,0.2078,0.0536,0.0287,0.3977,0.3122
81,Maize,Groundnut,0.0269,0.0478,0.2611,0.1777,0.4865
82,Maize,Groundnut,0.0673,0.0802,0.2238,0.2383,0.3905
83,Cotton,Groundnut,0.0794,0.2568,0.1471,0.2073,0.3094
84,Cotton,Cotton,0.0196,0.413,0.1498,0.1203,0.2973
85,Cotton,Cotton,0.0033,0.9087,0.0596,0.0075,0.0209
86,Cotton,Cotton,0.0024,0.9007,0.0791,0.0036,0.0142
87,Cotton,Cotton,0.0568,0.3419,0.2169,0.1659,0.2186
88,Bajra,Cotton,0.0915,0.3617,0.097,0.2081,0.2417
89,Rice,Rice,0.3448,0.2163,0.0626,0.1872,0.1892
90,Cotton,Cotton,0.0107,0.7879,0.0535,0.0643,0.0836
91,Cotton,Cotton,0.0162,0.5023,0.1857,0.1271,0.1687
92,Cotton,Cotton,0.0361,0.6307,0.0989,0.1017,0.1325
93,Cotton,Cotton,0.0026,0.6234,0.1649,0.099,0.1101
94,Cotton,Cotton,0.0275,0.3767,0.2108,0.167,0.2179
95,Cotton,Groundnut,0.0823,0.2502,0.2022,0.1373,0.328
96,Cotton,Maize,0.027,0.1919,0.3607,0.12,0.3004
97,Cotton,Groundnut,0.1466,0.1738,0.1579,0.2129,0.3088
98,Cotton,Groundnut,0.1275,0.0861,0.1585,0.2646,0.3633
99,Cotton,Maize,0.0135,0.2291,0.3096,0.1803,0.2675
100,Maize,Maize,0.0572,0.0764,0.3599,0.1777,0.3287
101,Cotton,Cotton,0.0047,0.3848,0.3024,0.1175,0.1906
102,Cotton,Cotton,0.0411,0.3121,0.2277,0.1548,0.2644
103,Cotton,Cotton,0.0,0.9232,0.0621,0.0041,0.0106
104,Groundnut,Cotton,0.0084,0.2832,0.2664,0.1856,0.2564
105,Cotton,Cotton,0.0173,0.6541,0.2401,0.0203,0.0681
106,Cotton,Cotton,0.0031,0.915,0.0634,0.0036,0.0148
107,Cotton,Groundnut,0.0394,0.1542,0.2122,0.1817,0.4125
108,Cotton,Cotton,0.0059,0.8773,0.0889,0.0049,0.0229
109,Cotton,Cotton,0.0212,0.7954,0.0705,0.0461,0.0669
110,Cotton,Cotton,0.0092,0.7893,0.1372,0.0139,0.0505
111,Groundnut,Cotton,0.0106,0.7947,0.0468,0.0876,0.0603
112,Maize,Groundnut,0.0308,0.0773,0.3496,0.1637,0.3785
113,Groundnut,Cotton,0.0516,0.4943,0.1516,0.1055,0.1971
114,Groundnut,Bajra,0.0267,0.1453,0.1586,0.3504,0.319
115,Cotton,Cotton,0.0103,0.3714,0.2929,0.0836,0.2419
116,Groundnut,Cotton,0.0479,0.2983,0.1516,0.2396,0.2626
117,Cotton,Groundnut,0.1324,0.1838,0.2536,0.0667,0.3635
118,Rice,Groundnut,0.2249,0.1075,0.1103,0.2467,0.3105
119,Cotton,Maize,0.0724,0.1599,0.4681,0.0339,0.2657
120,Cotton,Cotton,0.2315,0.3707,0.0359,0.2044,0.1575
121,Cotton,Cotton,0.025,0.5626,0.2935,0.0253,0.0936
122,Groundnut,Groundnut,0.0523,0.1784,0.1029,0.2913,0.3751
123,Cotton,Cotton,0.014,0.3759,0.1935,0.1762,0.2404
124,Groundnut,Groundnut,0.1557,0.2445,0.0452,0.2725,0.2821
125,Rice,Groundnut,0.2304,0.1796,0.0714,0.2313,0.2873
126,Groundnut,Cotton,0.0616,0.4389,0.141,0.1549,0.2036
127,Groundnut,Cotton,0.0391,0.5638,0.1255,0.1066,0.165
128,Groundnut,Bajra,0.1722,0.167,0.0737,0.302,0.2851
129,Groundnut,Groundnut,0.0312,0.1289,0.1582,0.2611,0.4206
130,Cotton,Cotton,0.0112,0.3118,0.2532,0.1613,0.2626
131,Groundnut,Cotton,0.1662,0.3607,0.1098,0.1646,0.1986
132,Bajra,Groundnut,0.1302,0.2276,0.1256,0.219,0.2976
133,Groundnut,Groundnut,0.0363,0.2118,0.15,0.2783,0.3236
134,Groundnut,Cotton,0.0553,0.3988,0.1952,0.1161,0.2346
135,Cotton,Cotton,0.0369,0.3813,0.2171,0.1455,0.2192
136,Cotton,Cotton,0.0023,0.7383,0.1442,0.0335,0.0816
137,Cotton,Cotton,0.0016,0.9185,0.0276,0.0253,0.0271
138,Cotton,Cotton,0.0009,0.8863,0.0501,0.0268,0.0359
139,Groundnut,Rice,0.6771,0.1234,0.0057,0.1099,0.0839
140,Cotton,Cotton,0.163,0.6117,0.0126,0.1169,0.0958
141,Maize,Bajra,0.1758,0.1517,0.0388,0.3357,0.298
142,Groundnut,Bajra,0.3221,0.0658,0.0086,0.4253,0.1782
143,Cotton,Groundnut,0.1305,0.2038,0.1517,0.1986,0.3155
144,Groundnut,Cotton,0.0112,0.7968,0.0146,0.1114,0.066
145,Groundnut,Groundnut,0.0264,0.1579,0.1924,0.2994,0.3239
146,Cotton,Cotton,0.0774,0.3139,0.1232,0.2241,0.2614
147,Cotton,Groundnut,0.0476,0.1672,0.1524,0.246,0.3868
148,Cotton,Cotton,0.0252,0.3812,0.1809,0.1747,0.2381
149,Maize,Groundnut,0.0171,0.0828,0.3406,0.1667,0.3927
150,Cotton,Groundnut,0.0489,0.2136,0.2003,0.215,0.3222
151,Cotton,Cotton,0.0288,0.3451,0.2001,0.1443,0.2817
152,Groundnut,Cotton,0.0164,0.4107,0.1305,0.2164,0.2261
153,Cotton,Cotton,0.0385,0.4329,0.1317,0.2178,0.179
154,Cotton,Cotton,0.0002,0.8569,0.1113,0.0067,0.0249
155,Groundnut,Rice,0.3234,0.0562,0.075,0.2489,0.2965
156,Groundnut,Groundnut,0.0466,0.0952,0.2473,0.2301,0.3807
157,Groundnut,Bajra,0.1759,0.2244,0.0176,0.4032,0.1789
158,Maize,Groundnut,0.0226,0.0989,0.2402,0.1981,0.4403
159,Cotton,Groundnut,0.0471,0.1168,0.1961,0.2229,0.4171
160,Cotton,Groundnut,0.1584,0.0965,0.1329,0.2097,0.4025
161,Cotton,Bajra,0.2143,0.2428,0.0517,0.2467,0.2445
162,Cotton,Groundnut,0.2357,0.2222,0.109,0.1957,0.2374
163,Cotton,Cotton,0.0059,0.8093,0.1514,0.0069,0.0265
164,Cotton,Maize,0.0132,0.1174,0.4881,0.0951,0.2862
165,Groundnut,Groundnut,0.0958,0.22,0.2449,0.1802,0.2591
166,Groundnut,Cotton,0.0353,0.3281,0.2874,0.1416,0.2075
167,Groundnut,Bajra,0.0782,0.3069,0.0683,0.3222,0.2244
168,Groundnut,Groundnut,0.0811,0.1384,0.1474,0.2368,0.3963
169,Maize,Groundnut,0.1536,0.0506,0.3454,0.0996,0.3508
170,Groundnut,Bajra,0.1023,0.2025,0.0302,0.366,0.299
171,Cotton,Bajra,0.2029,0.0514,0.0157,0.4585,0.2715
172,Groundnut,Cotton,0.1166,0.3187,0.0452,0.2827,0.2368
173,Cotton,Cotton,0.0144,0.8151,0.1014,0.0138,0.0554
174,Cotton,Groundnut,0.031,0.202,0.2713,0.1465,0.3493
175,Cotton,Cotton,0.0477,0.4869,0.1821,0.0711,0.2122
176,Cotton,Cotton,0.0633,0.3745,0.1244,0.1513,0.2865
177,Cotton,Cotton,0.0553,0.3608,0.1668,0.1196,0.2975
178,Cotton,Groundnut,0.1657,0.0656,0.1766,0.2202,0.3719
179,Cotton,Cotton,0.1408,0.2926,0.1471,0.1534,0.2661
180,Bajra,Groundnut,0.2469,0.11,0.0844,0.2439,0.3149
181,Rice,Rice,0.372,0.1238,0.0548,0.2146,0.2348
182,Rice,Cotton,0.1633,0.3024,0.1448,0.1366,0.2528
183,Rice,Cotton,0.0851,0.3271,0.132,0.1799,0.2759
184,Rice,Groundnut,0.1298,0.2563,0.1581,0.1932,0.2626
185,Cotton,Groundnut,0.1166,0.2046,0.1161,0.2771,0.2856
186,Cotton,Groundnut,0.1131,0.1912,0.1986,0.1913,0.3058
187,Cotton,Groundnut,0.108,0.2803,0.146,0.1774,0.2883
188,Cotton,Groundnut,0.1502,0.1601,0.0687,0.3041,0.3169
189,Cotton,Cotton,0.1915,0.2887,0.0918,0.1826,0.2453
190,Groundnut,Groundnut,0.0881,0.2573,0.0973,0.2726,0.2847
191,Cotton,Maize,0.0105,0.3534,0.464,0.0495,0.1226
192,Bajra,Groundnut,0.2396,0.1591,0.1353,0.2178,0.2481
193,Groundnut,Rice,0.2868,0.128,0.0746,0.2355,0.2752
194,Rice,Groundnut,0.0475,0.1806,0.1626,0.236,0.3733
195,Groundnut,Groundnut,0.112,0.1127,0.1233,0.2661,0.3859
196,Groundnut,Cotton,0.0423,0.2887,0.1841,0.2358,0.2491
197,Groundnut,Groundnut,0.0575,0.2533,0.2187,0.1809,0.2896
198,Groundnut,Groundnut,0.028,0.2135,0.2174,0.2044,0.3366
199,Cotton,Rice,0.2626,0.2098,0.1011,0.2002,0.2263
200,Cotton,Cotton,0.0106,0.7742,0.1541,0.0137,0.0474
201,Groundnut,Rice,0.3748,0.123,0.0453,0.2055,0.2513
202,Rice,Rice,0.6814,0.0351,0.0117,0.1474,0.1245
203,Rice,Rice,0.5029,0.1043,0.024,0.1846,0.1842
204,Groundnut,Rice,0.514,0.0884,0.0494,0.1707,0.1776
205,Cotton,Cotton,0.1708,0.4309,0.147,0.0553,0.196
206,Cotton,Cotton,0.0368,0.4394,0.1883,0.0986,0.2369
207,Cotton,Rice,0.3972,0.2045,0.0626,0.1626,0.1731
208,Rice,Cotton,0.047,0.5504,0.1686,0.0908,0.1432
209,Cotton,Cotton,0.0498,0.5362,0.1826,0.0623,0.1691
210,Cotton,Groundnut,0.2017,0.2427,0.1525,0.1385,0.2647
211,Cotton,Cotton,0.0072,0.5689,0.2664,0.035,0.1225
212,Rice,Cotton,0.04,0.5226,0.1502,0.124,0.1632
213,Cotton,Cotton,0.0585,0.6423,0.107,0.0413,0.151
214,Groundnut,Groundnut,0.1051,0.2606,0.202,0.1542,0.2781
215,Groundnut,Rice,0.3557,0.1494,0.0933,0.1902,0.2115
216,Cotton,Cotton,0.0552,0.5755,0.208,0.0254,0.136
217,Cotton,Groundnut,0.0172,0.1873,0.3087,0.1618,0.3251
218,Cotton,Cotton,0.0305,0.4568,0.3611,0.0225,0.1291
219,Cotton,Cotton,0.0375,0.5398,0.2934,0.0217,0.1076
220,Rice,Cotton,0.072,0.3249,0.1205,0.2264,0.2561
221,Rice,Cotton,0.1652,0.2704,0.0691,0.2682,0.2271
222,Rice,Groundnut,0.064,0.1954,0.2166,0.2277,0.2963
223,Bajra,Bajra,0.1742,0.1883,0.0851,0.3112,0.2412
224,Rice,Bajra,0.2788,0.0357,0.0378,0.3271,0.3207
225,Rice,Groundnut,0.0677,0.0374,0.0701,0.38,0.4449
226,Rice,Groundnut,0.1296,0.0891,0.0661,0.309,0.4061
227,Groundnut,Cotton,0.0821,0.6465,0.0581,0.1152,0.0981
228,Maize,Cotton,0.0709,0.2952,0.0829,0.2585,0.2925
229,Groundnut,Rice,0.3263,0.1315,0.0465,0.2437,0.2521
230,Cotton,Cotton,0.0509,0.5738,0.2189,0.0276,0.1287
231,Groundnut,Groundnut,0.144,0.2263,0.1454,0.1617,0.3226
232,Cotton,Cotton,0.0382,0.3854,0.2296,0.1207,0.226
233,Rice,Bajra,0.19,0.2348,0.0732,0.278,0.224
234,Groundnut,Groundnut,0.2159,0.1584,0.1368,0.202,0.287
235,Cotton,Rice,0.3615,0.1029,0.222,0.0605,0.2531
236,Groundnut,Groundnut,0.2313,0.1427,0.1142,0.239,0.2727
237,Cotton,Groundnut,0.1946,0.118,0.11,0.248,0.3294
238,Cotton,Cotton,0.0661,0.335,0.2541,0.1017,0.2431
239,Groundnut,Cotton,0.1408,0.4458,0.023,0.2495,0.1409
240,Cotton,Cotton,0.0506,0.365,0.192,0.1404,0.2521
241,Groundnut,Rice,0.4064,0.2622,0.0297,0.1632,0.1385
242,Bajra,Groundnut,0.2411,0.1599,0.0943,0.1629,0.3419
243,Maize,Groundnut,0.0999,0.1686,0.2579,0.1464,0.3272
244,Cotton,Cotton,0.2155,0.3516,0.1229,0.1487,0.1613
245,Rice,Rice,0.4392,0.1389,0.0184,0.2403,0.1632
246,Cotton,Cotton,0.0049,0.8733,0.0969,0.0061,0.0188
247,Cotton,Cotton,0.163,0.4992,0.0593,0.1357,0.1428
248,Cotton,Cotton,0.0238,0.7262,0.169,0.0164,0.0646
249,Groundnut,Rice,0.4789,0.2416,0.0357,0.136,0.1079
250,Cotton,Cotton,0.0576,0.449,0.105,0.2141,0.1743
251,Groundnut,Rice,0.2468,0.2321,0.0787,0.2382,0.2043
252,Groundnut,Rice,0.3273,0.2386,0.0674,0.1927,0.174
253,Cotton,Cotton,0.0024,0.854,0.1162,0.005,0.0225
254,Groundnut,Cotton,0.0486,0.6457,0.0329,0.1799,0.0929
255,Bajra,Bajra,0.2986,0.0698,0.0326,0.3515,0.2474
256,Cotton,Rice,0.399,0.1122,0.0805,0.1527,0.2555
257,Cotton,Maize,0.0378,0.1733,0.3583,0.1101,0.3205
258,Groundnut,Rice,0.3402,0.1399,0.0475,0.2275,0.2449
259,Rice,Rice,0.3059,0.2016,0.0419,0.2266,0.2239
260,Groundnut,Bajra,0.1316,0.241,0.0767,0.3116,0.2391
261,Groundnut,Cotton,0.053,0.3327,0.0532,0.3235,0.2377
262,Groundnut,Groundnut,0.0456,0.0702,0.1456,0.2788,0.4598
263,Maize,Maize,0.0071,0.1045,0.4315,0.151,0.3059
264,Cotton,Cotton,0.1264,0.4122,0.1308,0.1408,0.1897
265,Cotton,Cotton,0.0945,0.2838,0.2691,0.1401,0.2125
266,Groundnut,Rice,0.3858,0.1699,0.0732,0.1706,0.2004
267,Cotton,Cotton,0.0032,0.9078,0.0558,0.0111,0.0221
268,Cotton,Cotton,0.0135,0.7684,0.1212,0.0185,0.0784
269,Cotton,Cotton,0.0899,0.3162,0.134,0.1951,0.2648
270,Maize,Groundnut,0.0071,0.1253,0.3276,0.1996,0.3405
271,Groundnut,Cotton,0.0447,0.2994,0.1245,0.2694,0.2619
272,Groundnut,Rice,0.559,0.0408,0.0332,0.1833,0.1837
273,Rice,Groundnut,0.2375,0.0924,0.0513,0.3063,0.3125
274,Maize,Groundnut,0.1016,0.2304,0.203,0.177,0.2879
275,Cotton,Maize,0.0328,0.2369,0.329,0.1185,0.2828
276,Bajra,Groundnut,0.1105,0.155,0.2015,0.2125,0.3205
277,Groundnut,Rice,0.2896,0.1259,0.0535,0.2527,0.2782
278,Cotton,Cotton,0.1164,0.493,0.1272,0.1032,0.1602
279,Groundnut,Rice,0.4068,0.1069,0.0727,0.1867,0.2269
280,Rice,Rice,0.3137,0.0483,0.0393,0.3081,0.2906
