farm_id,ndvi_jun,vv_jun,vh_jun,ndvi_jul,vv_jul,vh_jul,ndvi_aug,vv_aug,vh_aug,ndvi_sep,vv_sep,vh_sep,ndvi_oct,vv_oct,vh_oct,ndvi_nov,vv_nov,vh_nov
1,0.1608695652173913,-7.719730614965768,-15.911989084194573,,-6.332264678498372,-12.351828999547347,0.23917525773195877,-8.159199077727646,-17.310633469757864,0.132890365448505,-8.956344242766397,-17.953799574873063,0.07754442649434572,-6.4224377997684945,-18.244297755075905,0.2690487844672867,-6.4653825391324045,-15.29645150674067
2,0.1608695652173913,-7.098450929604864,-16.49589409676788,,-8.446161554120346,-16.29310831097323,0.23917525773195877,-8.16221339456744,-14.059427801425265,0.132890365448505,-9.672708259503462,-15.924530922555864,0.07754442649434572,-10.182640358829538,-19.325639447360164,0.2572223080488182,-9.221936490235471,-19.26457351194527
3,0.1608695652173913,-8.860489476814625,-18.153400132915888,,-10.331221502184945,-17.33935470504853,0.23917525773195877,-7.95131031810206,-17.477008481619166,0.132890365448505,-10.898902427937207,-17.435605739286995,0.07754442649434572,-8.313277051895412,-16.268497354166055,0.5192956713132796,-5.772840116313541,-12.984135991406212
4,0.1608695652173913,-9.676480323519204,-17.05308088546994,,-5.839068025393126,-14.310648566076988,0.23917525773195877,-8.108783982543857,-17.446523339418192,0.132890365448505,-9.819360769809641,-18.703679850489788,0.07754442649434572,-10.670035863499297,-16.600751327526297,,-8.781641513491788,-15.336153518786865
5,0.1608695652173913,-8.83813145778728,-16.570239755379394,,-7.646207657282965,-13.2600177443053,0.23917525773195877,-8.475653738562933,-15.620611194745084,0.132890365448505,-9.457216589566679,-16.23455204649279,0.07754442649434572,-6.590607353946526,-15.970190531447974,0.2758525090102578,-5.4121933793593975,-13.834380688173189
6,0.1608695652173913,-8.061501440184676,-15.192968262312018,,-8.080223599916703,-12.594181022724973,0.23917525773195877,-6.027038382043038,-13.809433635678857,0.132890365448505,-9.751324229631773,-15.260314192247106,0.07754442649434572,-8.187801966164717,-15.30930594460052,0.310426974528129,-7.577903041054521,-15.220770034998521
7,0.1608695652173913,-8.048360266535447,-16.479373116230946,,-7.510303510256464,-14.035581869942146,0.23917525773195877,-8.521733785422235,-16.93123320188188,0.132890365448505,-11.002504372443802,-17.948797366990277,0.07754442649434572,-9.492673610383072,-17.03940240782549,0.3843283582089552,-7.7382148706533105,-15.592415988596606
8,0.1608695652173913,-8.096651462581312,-14.723865718464207,,-7.561563215129768,-13.302749904340649,0.23917525773195877,-3.364754593412666,-16.580079811383637,0.132890365448505,-8.7856653251205,-17.21760476986186,0.07754442649434572,-8.25121836527942,-15.857451215197088,0.5046783625730994,-5.871691543355459,-13.557864342307619
9,0.1608695652173913,-9.72123870753761,-14.621750188163027,,-8.79708947847827,-13.546404059809845,0.23917525773195877,-7.345052723721776,-12.850423200495136,0.132890365448505,-8.172830147763172,-12.607724681442274,0.07754442649434572,-8.11221768303019,-13.73387874412838,0.42221427933160577,-8.1629126132823,-13.425118558126211
10,0.1608695652173913,-8.821129134904384,-14.086211843860113,,-7.412823101732972,-11.953432212555583,0.23917525773195877,-6.269277996747535,-14.490809175754595,0.132890365448505,-9.220555669452516,-16.59021133408986,0.07754442649434572,-8.328087239096103,-15.822303738745047,0.5292341912932952,-7.1953432728403,-14.723784702475719
