farm_id,s1_vh_season_integral,s1_vh_mean_db,s1_vh_db_20250612,s1_vh_db_20250624,s1_vh_db_20250706,s1_vh_db_20250718,s1_vh_db_20250730,s1_vh_db_20250823,s1_vh_db_20250904,s1_vh_db_20250916,s1_vh_db_20250928,s1_vh_db_20251010
1,3.1779647022485733,-16.0366470004156,-18.160099467306495,-15.482445455508802,-13.23769831539395,-14.802336263168653,-13.790863366324233,-17.073833535709177,-16.420729512742838,-17.910019525037676,-20.009626181285686,-18.353249255834704
2,2.959859322756529,-16.226944162737173,-15.733217677756713,-17.66082778602306,-16.13098271461046,-15.864103062030548,-15.747231150180776,-14.86793137858265,-15.197418114365417,-16.051036519599403,-18.540472799500694,-17.958114447608587
3,3.1360443234443665,-16.227359874502653,-18.31056910443963,-17.700669155150063,-17.895429613854294,-16.356707102773566,-11.5851840537985,-17.64281268315671,-17.145023846166623,-17.380734305474963,-17.666310682221567,-15.85837533964908
4,3.4439642569050193,-15.455547629341172,-17.592647649186222,-14.223275746773362,-14.764999887160675,-13.965658297128762,-14.07491574129754,-17.51234796260907,-15.923274775378765,-16.849505856438192,-17.45076350243722,-14.567214997182255
5,4.975526500493288,-13.989112794188902,-14.960242922997995,-14.799840409505439,-14.455331386767565,-12.025486512180475,-12.694158396579741,-14.014647847991688,-13.046541553254922,-15.163596610330996,-15.014622260372164,-15.157432304625063
6,4.301058059558272,-14.75465814898981,-17.65937998328075,-15.544758263259999,-14.54730151782669,-12.236238180915995,-12.594181022724973,-14.505249155789867,-14.500627879261538,-16.084355274621732,-17.341175456157107,-15.901694990333601
7,3.34043400362134,-15.769822623558047,-18.27709294066222,-15.085242029693713,-15.091411756653226,-13.149164875858999,-13.533262204686526,-17.0115599470068,-18.45532289501824,-16.84656108830295,-17.42718209007022,-16.5090720570971
8,3.708624668419361,-15.214910462110733,-16.16329751066477,-13.920194050253968,-12.971501580596067,-14.329397355241554,-13.410549836014699,-16.77024340393552,-16.51358772784567,-17.384339033630813,-18.126397327186247,-15.807261074478316
9,5.696859972551465,-13.361963253887252,-16.233646608759173,-13.669238717209332,-13.57519578398892,-13.991761118273988,-12.734451090470158,-12.920973278145965,-12.32288872053579,-14.018722508858147,-12.614703282411103,-12.736296984651041
10,4.628460310399532,-14.291364596504522,-17.23494636857248,-12.54797800798796,-11.988314273755137,-11.710268612036103,-14.985635572445197,-14.835976582748875,-13.658955318893163,-16.59021133408986,-17.286303443368475,-17.257274580654894
11,5.201254371553659,-13.887168775809108,-16.20504038627906,-13.507573022690897,-12.821018705766374,-12.259920143101528,-13.851208788870004,-12.231909424079554,-13.945395725817583,-14.866708438316692,-15.671464148521983,-15.630707816921474
12,5.439876990392804,-13.850598280166631,-18.13145010465589,-12.499477851979856,-13.929558099063378,-13.448126598986153,-13.006669446677934,-11.39622777065032,-11.664178139922152,-15.949742723556238,-18.53205249215892,-16.08936186994797
13,2.8476167041808367,-16.495279777114742,-17.80491457084217,-15.82054567110532,-16.406715604993092,-18.304013531215062,-13.777305368131765,-16.599430533856946,-17.31335199325199,-16.288212563959398,-17.691273077302093,-16.811630687864533
14,8.527578838169575,-11.418993886688112,-8.6414413659156,-10.604696952549286,-11.214287182432777,-12.016672886141894,-10.566884830167218,-11.823885458935266,-13.238311761055714,-11.499369745765515,-13.068331675708457,-14.198913040053633
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,3.1200945004820824,-15.928464994199139,-17.057779592432546,-15.034638855149804,-14.774547066061503,-15.483148451195945,-14.34582219980442,-16.495381330501594,-16.56299850722862,-16.687454264348556,-20.075716520601826,-15.201271560882695
21,2.3398476652801037,-17.06702466453717,-18.139367859191264,-15.915346131200938,-16.595862849792887,-16.32953850653362,-15.777822692433041,-18.59800861850043,-19.75996234014717,-18.035646838729097,-17.97887403949511,-15.549306167743662
22,2.4942936412990093,-16.961251088360115,-17.744277164407364,-18.363206245934872,-16.78813235311498,-17.8389867002659,-15.207001940671317,-17.646289332257428,-16.57287837144964,-15.771638752447132,-17.15633084630776,-17.582618662540504
23,,,,,,,,,,,,
24,3.4507852904498577,-15.538203152625423,-16.851463615120835,-14.546591678898267,-16.20788908151694,-15.471069557404943,-12.854298939904838,-17.399185047997527,-14.680224697899042,-17.39950729364536,-17.946633430616977,-14.816009956937119
25,3.060585245490074,-16.087651911489118,-17.835015285460564,-17.392638640073493,-17.249125743710835,-14.664158925071133,-12.310508181640538,-18.670799168695808,-18.950156012771803,-19.561416315592144,-16.152568886708334,-14.190500084646034
26,3.310078689828515,-15.735557567852627,-17.772864221615347,-17.82832884578869,-17.268001244331206,-12.49715454403985,-13.114079402675262,-17.034817937611322,-17.834602547309263,-16.4329449834638,-17.752490661118443,-14.666017983056234
27,3.1795397344976664,-15.961877186365257,-18.707459035089716,-17.47796335433305,-18.148721190104933,-13.39272023573519,-13.54399294512634,-16.5157070688335,-17.64128252298079,-16.842562501964583,-15.752175229100589,-15.237278623174817
28,4.41831786185503,-14.430423120513185,-16.395770720998563,-15.428982060370608,-14.204645975972799,-13.400738286789922,-13.861373053710466,-13.979823884967011,-14.626658449343683,-16.356351912474672,-13.593472365746608,-13.678688585326013
29,5.105188082903624,-14.10749857341081,-18.250553124699,-16.550434537254894,-12.515456700152631,-11.680229080544782,-10.906115889876622,-14.329038528409814,-15.494312131944989,-16.998790364175022,-14.937293017205015,-15.376401199695248
30,12.565020360052586,-9.921657303607347,-11.197720393483676,-11.267098629833814,-11.532685550932264,-10.381825616203155,-8.889597492396414,-8.289389113349623,-10.057435915998077,-9.652676546635215,-11.101382450833823,-8.424089705926512
31,4.990151423960924,-14.067176877488754,-17.16951912013482,-18.68604247596915,-12.638869510757376,-10.291792380495963,-11.098259369737065,-17.426973413418242,-13.511821648295275,-17.222927332728084,-16.34244839971347,-15.398139145118607
